   ,DRUG_CODE,DRUG_SPEC,FIRM_ID,UNITS,TRADE_PRICE,RETAIL_PRICE,AMOUNT_PER_PACKAGE,MIN_SPEC,MIN_UNITS,CLASS_ON_INP_RCPT,CLASS_ON_OUTP_RCPT,CLASS_ON_RECKONING,SUBJ_CODE,CLASS_ON_MR,START_DATE,STOP_DATE,MAX_RETAIL_PRICE,GMP,CGLX
95,400001400,150mg*20,青海制药,盒,7.44,8.56,20,150mg,片,A,A,A01,A01,C,2011/10/31 17:00,2012/10/15 10:35,,,4
96,400001400,150mg,青海制药,片,0.372,0.428,1,150mg,片,A,A,A01,A01,C,2011/10/31 17:00,2012/10/15 10:35,,,4
97,500001000,300mg*60,安士制药,瓶,33.58,33.58,60,300mg,片,A,A,A01,A01,C,2011/10/31 17:00,,,,4
98,500001000,300mg,安士制药,片,0.5597,0.5597,1,300mg,片,A,A,A01,A01,C,2011/10/31 17:00,,,,4
99,101009900,1g,西南药业,支,59.74,59.74,1,1g,支,A,A,A01,A01,C,2011/11/11 10:16,2014/8/1 16:47,,Y,4
100,1300003700,0.2g*12,浙江爱生,盒,39.53,39.53,12,0.2g,丸,A,A,A01,A01,C,2012/2/22 9:15,,,Y,4
101,1300003700,0.2g*10,浙江爱生,盒,33.16,33.16,10,0.2g,丸,A,A,A01,A01,C,2012/2/22 9:15,,,Y,4
102,1300003700,0.2g,浙江爱生,丸,3.316,3.316,1,0.2g,丸,A,A,A01,A01,C,2012/2/22 9:15,,,Y,4
103,1100003400,10ml:20ug,上海勃林格,瓶,50.7,50.7,1,10ml:20ug,瓶,A,A,A01,A01,C,2012/7/26 9:09,2013/11/7 9:34,,Y,4
104,1500004000,10mg*100,江苏晨牌,瓶,4.09,4.09,100,10mg,片,A,A,A01,A01,C,2012/7/26 9:30,,,Y,4
105,1500004000,10mg,江苏晨牌,片,0.0409,0.0409,1,10mg,片,A,A,A01,A01,C,2012/7/26 9:30,,,Y,4
106,800006600,10mg*15,浙江普洛,盒,131.88,131.88,15,10mg,粒,A,A,A01,A01,C,2012/7/26 17:03,,,Y,4
107,800006600,10mg,浙江普洛,粒,8.792,8.792,1,10mg,粒,A,A,A01,A01,C,2012/7/26 17:03,,,Y,4
108,2000839272,0.5g/6g,广东一方,包,0.84,1.092,1,0.5g/6g,包,C,C,A03,A03,E,2012/8/23 9:13,2014/2/19 10:56,,Y,4
109,1900057306,1000g,亳州市药材,克,100,125,1,1000g,克,C,C,A03,A03,E,2012/9/11 9:52,,,Y,4
110,1900057306,1g,亳州市药材,克,0.1,0.125,1,1g,克,C,C,A03,A03,E,2012/9/11 9:52,,,Y,4
111,1200004700,10mg:1ml,杭州民生,支,0.748,0.748,1,10mg:1ml,支,A,A,A01,A01,C,2013/2/4 14:29,2014/7/17 15:36,,Y,4
112,500002600,1片*18,江西南昌桑,盒,2.17,2.17,18,1片,片,A,A,A01,A01,C,2013/3/5 14:02,,,Y,4
113,500002600,1片,江西南昌桑,片,2.17,2.5,1,1片,片,A,A,A01,A01,C,2013/3/5 14:02,2013/3/5 14:03,,Y,4
114,500002600,1片,江西南昌桑,片,0.1206,0.1206,1,1片,片,A,A,A01,A01,C,2013/3/5 14:03,,,Y,4
115,1500004900,50mg*12,成都利尔,盒,29,29,12,50mg,片,A,A,A01,A01,C,2013/6/4 8:50,,,Y,4
116,1600001400,10ml：1g,山东圣鲁,支,0.21,0.21,1,10ml：1g,支,A,A,A01,A01,C,2013/6/7 15:24,2014/4/3 10:07,,Y,4
117,700007800,250ug：1ml,美国,支,466.9,536.94,1,250ug：1ml,支,A,A,A01,A01,C,2013/6/7 15:38,2013/6/25 17:00,,Y,4
118,700007800,250ug：1ml,美国,支,466.96,466.96,1,250ug：1ml,支,A,A,A01,A01,C,2013/6/25 17:00,,,,4
119,1300006800,10mg*100,江苏亚邦,瓶,2,2,100,10mg,片,A,A,A01,A01,C,2013/6/25 10:02,2014/7/22 9:56,,Y,4
120,1300006800,10mg,江苏亚邦,片,0.02,0.02,1,10mg,片,A,A,A01,A01,C,2013/6/25 10:02,2014/7/22 9:56,,Y,4
121,600001300,0.5g,江西博雅,瓶,320,320,1,0.5g,瓶,A,A,A01,A01,C,2013/6/25 15:21,2014/6/4 17:00,,Y,4
122,102005900,0.2g*24,四川珍珠,盒,3.84,3.84,24,0.2g,片,A,A,A01,A01,C,2013/8/5 15:10,,,Y,4
123,102005900,0.2g,四川珍珠,片,0.16,0.16,1,0.2g,片,A,A,A01,A01,C,2013/8/5 15:10,,,Y,4
124,600001200,2.5g,山西康宝,瓶,550,550,1,2.5g,瓶,A,A,A01,A01,C,2013/8/23 17:15,,,Y,4
125,1300006800,10mg,江苏云阳,片,0.023,0.023,1,10mg,片,A,A,A01,A01,C,2013/9/6 8:07,2015/7/3 15:15,,Y,4
126,1300006800,10mg*100,江苏云阳,瓶,2.3,2.3,100,10mg,片,A,A,A01,A01,C,2013/9/6 8:07,2015/7/3 15:15,,Y,4
127,101011100,150mg*12,浙江维康,盒,21.65,21.65,12,150mg,粒,A,A,A01,A01,C,2013/9/30 8:16,,,Y,4
128,101011100,150mg,浙江维康,粒,1.8042,1.8042,1,150mg,粒,A,A,A01,A01,C,2013/9/30 8:16,,,Y,4
129,1300006000,20mg*10,山东罗欣,盒,19.48,19.48,10,20mg,粒,A,A,A01,A01,C,2013/9/30 14:58,2013/9/30 15:12,,Y,4
130,1300006000,20mg,山东罗欣,粒,1.948,1.948,1,20mg,粒,A,A,A01,A01,C,2013/9/30 14:58,2013/9/30 15:12,,Y,4
131,1300011200,20mg*10,山东罗欣,盒,19.48,19.48,10,20mg,片,A,A,A01,A01,C,2013/9/30 15:14,,,Y,4
132,1300011200,20mg,山东罗欣,片,1.948,1.948,1,20mg,片,A,A,A01,A01,C,2013/9/30 15:14,,,Y,4
133,1700003800,2mg,成都天台山,瓶,24,24,1,2mg,瓶,A,A,A01,A01,C,2013/10/14 14:53,,,Y,4
134,700007900,50mg*30,四川绿叶,盒,45.61,45.61,30,50mg,粒,A,A,A01,A01,C,2013/10/14 15:00,,,Y,4
135,700007900,50mg,四川绿叶,粒,1.5203,1.5203,1,50mg,粒,A,A,A01,A01,C,2013/10/14 15:00,,,Y,4
136,800003200,30mg:5ml,山西振东,支,88,88,1,30mg:5ml,支,A,A,A01,A01,C,2013/10/16 14:06,,,Y,4
137,1100001000,1粒,上海信谊药,粒,0.5972,0.5972,1,1粒,粒,A,A,A01,A01,C,2013/2/5 17:00,,,,4
138,1100001400,18μg*10,德国勃林,盒,138.26,159,10,18μg,粒,A,A,A01,A01,C,2013/2/5 17:00,2013/8/5 8:50,,,4
139,1100001400,18μg,德国勃林,粒,13.826,15.9,1,18μg,粒,A,A,A01,A01,C,2013/2/5 17:00,2013/8/5 8:50,,,4
140,1100001700,5mg:2ml,阿斯利康,支,5.1305,5.1305,1,5mg:2ml,支,A,A,A01,A01,C,2013/2/5 17:00,,,,4
141,1100001900,100ml:4mg,江西科伦,瓶,18.7,18.7,1,100ml:4mg,瓶,A,A,A01,A01,C,2013/2/5 17:00,,,,4
142,102006200,600mg*7,北京诺华,盒,135.65,135.65,7,600mg,片,A,A,A01,A01,C,2013/2/5 17:00,,,,4
143,102006200,600mg,北京诺华,片,19.3786,19.3786,1,600mg,片,A,A,A01,A01,C,2013/2/5 17:00,,,,4
144,1400001300,0.625g*75,天津太平洋,盒,46.78,46.78,75,0.625g,粒,A,A,A01,A01,C,2013/2/5 17:00,,,,4
145,1400001300,0.625g,天津太平洋,粒,0.6237,0.6237,1,0.625g,粒,A,A,A01,A01,C,2013/2/5 17:00,,,,4
146,1400000200,5mg*10,杭州默沙,盒,59.13,59.13,10,5mg,片,A,A,A01,A01,C,2013/2/5 17:00,,,,4
147,1400000200,5mg,杭州默沙,片,5.913,5.913,1,5mg,片,A,A,A01,A01,C,2013/2/5 17:00,,,,4
148,1400000300,630mg*100,北京费森尤,瓶,268.7,268.7,100,630mg,片,A,A,A01,A01,C,2013/2/5 17:00,2014/10/28 15:30,,,4
149,1400000300,630mg,北京费森尤,片,2.687,2.687,1,630mg,片,A,A,A01,A01,C,2013/2/5 17:00,2014/10/28 15:30,,,4
150,1400000500,20mg,南京海辰,瓶,35.83,35.83,1,20mg,瓶,A,A,A01,A01,C,2013/2/5 17:00,,,,4
151,1400000600,0.2mg*10,江苏恒瑞,盒,34.35,34.35,10,0.2mg,粒,A,A,A01,A01,C,2013/2/5 17:00,,,,4
152,1400000600,0.2mg,江苏恒瑞,粒,3.435,3.435,1,0.2mg,粒,A,A,A01,A01,C,2013/2/5 17:00,,,,4
153,1500004100,500ml,杭州民生,瓶,75.83,75.83,1,500ml,瓶,A,A,A01,A01,C,2013/2/5 17:00,,,,4
154,900000200,5mg:10ml*6,重庆华邦,盒,20.35,20.35,6,5mg:10ml,支,A,A,A01,A01,C,2013/2/5 17:00,,,,4
155,900000200,5mg:10ml,重庆华邦,支,3.3917,3.3917,1,5mg:10ml,支,A,A,A01,A01,C,2013/2/5 17:00,,,,4
156,700006200,300iu:3ml,甘李药业,支,154.78,154.78,1,300iu:3ml,支,A,A,A01,A01,C,2013/2/5 17:00,,,,4
157,700007300,300iu:3ml,礼来苏州,支,74.09,74.09,1,300iu:3ml,支,A,A,A01,A01,C,2013/2/5 17:00,,,,4
158,700007400,300iu:3ml,诺和诺德,支,74.09,74.09,1,300iu:3ml,支,A,A,A01,A01,C,2013/2/5 17:00,,,,4
159,700001100,300iu:3ml,诺和诺德,支,74.09,74.09,1,300iu:3ml,支,A,A,A01,A01,C,2013/2/5 17:00,,,,4
160,1700009000,2.5ml,生化学工业,支,189.57,189.57,1,2.5ml,支,A,A,A01,A01,C,2013/2/5 17:00,,,,4
161,500002300,2000ml:1.5%,广州百特,瓶,30.09,30.09,1,2000ml:1.5%,瓶,A,A,A01,A01,C,2013/2/5 17:00,,,,4
162,500002300,2000ml:2.5%,广州百特侨,瓶,30.09,30.09,1,2000ml:2.5%,瓶,A,A,A01,A01,C,2013/2/5 17:00,,,,4
163,1300009600,10mg*7,阿斯利康,盒,54.52,54.52,7,10mg,片,A,A,A01,A01,C,2013/2/5 17:00,2016/4/26 10:52,,,4
164,1300009600,10mg,阿斯利康,片,7.7886,7.7886,1,10mg,片,A,A,A01,A01,C,2013/2/5 17:00,2016/4/26 10:52,,,4
165,800003300,4mg:5ml,扬子集体,支,601,601,1,4mg:5ml,支,A,A,A01,A01,C,2013/2/5 17:00,,,,4
166,700006900,10mg*10,广东先强,盒,43.48,43.48,10,10mg,片,A,A,A01,A01,C,2013/2/5 17:00,,,,4
167,700006900,10mg,广东先强,片,4.348,4.348,1,10mg,片,A,A,A01,A01,C,2013/2/5 17:00,,,,4
168,700006800,50mg:5ml,广东先强,支,31.65,31.65,1,50mg:5ml,支,A,A,A01,A01,C,2013/2/5 17:00,,,,4
169,1700003400,100ml:35g,加拿大,支,331.3,331.3,1,100ml:35g,支,A,A,A01,A01,C,2013/2/5 17:00,,,,4
170,1700003500,15ml:7.04g,拜耳医药,支,168.7,168.7,1,15ml:7.04g,支,A,A,A01,A01,C,2013/2/5 17:00,,,,4
171,1000001700,3mg*6,江苏天士力,盒,26.7,26.7,6,3mg,片,A,A,A01,A01,C,2013/2/5 17:00,,,,4
172,1000001700,3mg,江苏天士力,片,4.45,4.45,1,3mg,片,A,A,A01,A01,C,2013/2/5 17:00,,,,4
173,1100000700,1mg:2ml,阿斯利康,支,16,16,1,1mg:2ml,支,A,A,A01,A01,C,2013/2/5 17:00,,,,4
174,1100003100,600mg*6,浙江康恩贝,盒,32.17,32.17,6,600mg,片,A,A,A01,A01,C,2013/2/5 17:00,,,,4
175,1100003100,600mg,浙江康恩贝,片,5.3617,5.3617,1,600mg,片,A,A,A01,A01,C,2013/2/5 17:00,,,,4
176,600000400,10g,海南灵康,瓶,74.78,74.78,1,10g,瓶,A,A,A01,A01,C,2013/2/5 17:00,2014/8/1 16:47,,,4
177,101010000,0.125g,成都倍特,片,1.1796,1.3567,1,0.125g,片,A,A,A01,A01,C,2013/8/1 8:55,2013/8/1 8:58,,Y,4
178,1900020500,1g*1000,安徽省亳州,千克,136,170,1000,1g,克,C,C,A03,A03,E,2014/6/30,,,Y,4
179,1900016900,1g,安徽省亳州,克,0.235,0.2938,1,1g,克,C,C,A03,A03,E,2013/10/8,2013/12/17 17:00,,Y,4
180,1900016900,1g*1000,安徽省亳州,千克,235,293.8,1000,1g,克,C,C,A03,A03,E,2013/10/8,2013/12/17 17:00,,Y,4
181,101003000,1g,海南海灵,瓶,39.1,39.1,1,1g,瓶,A,A,A01,A01,C,2011/8/10 17:00,,,,4
182,1600000200,500ml(玻璃),安微双鹤,瓶,1.69,1.69,1,500ml(玻璃),瓶,A,A,A01,A01,C,2011/11/15 8:12,2016/1/4 16:03,,Y,4
183,1300010200,75ug,常州制药,片,0.0892,0.0892,1,75ug,片,A,A,A01,A01,C,2012/1/16 14:18,,,Y,4
184,1300010200,75ug*100,常州制药,瓶,8.92,8.92,100,75ug,片,A,A,A01,A01,C,2012/1/16 14:18,,,Y,4
185,1300005100,50mg,杭州默沙,片,5.8629,5.8629,1,50mg,片,A,A,A01,A01,C,2012/1/16 14:33,,,Y,4
186,1300005100,50mg*7,杭州默沙,盒,41.04,41.04,7,50mg,片,A,A,A01,A01,C,2012/1/16 14:33,,,Y,4
187,102006200,600mg,北京诺华,片,20.4,23.46,1,600mg,片,A,A,A01,A01,C,2012/1/16 15:11,2013/2/5 17:00,,Y,4
188,102006200,600mg*7,北京诺华,盒,142.8,164.22,7,600mg,片,A,A,A01,A01,C,2012/1/16 15:11,2013/2/5 17:00,,Y,4
189,101007500,400mg*3,拜耳医药,盒,76.09,76.09,3,400mg,片,A,A,A01,A01,C,2012/2/2 14:10,,,,4
190,101007500,400mg,拜耳医药,片,25.3633,25.3633,1,400mg,片,A,A,A01,A01,C,2012/2/2 14:10,,,,4
